,education_id,user_id,is_bad_user_v1,is_bad_user_v2,is_platform_user,uri,campus,startdate,enddate,degree,degree_level,field,sequenceno,degree_raw,field_raw,campus_cleaned,university_priname_usa,university_priname_world,university_priname,university_name,universityurl,universityuri,location_country,university_location,campus_country_v1,university_country,world_rank,us_rank,rsid,school_name,parent_rsid,parent_school_name,school_prestige,description
0,-4333164692494442979,473624098,False,False,False,linkedin.com/in/marinhomoreira,Universidade de Pernambuco,2006-01-01,2011-01-01,Bachelor,3,empty,1,Bachelor of Science (BSc),,universidade de pernambuco,,,Universidade de Pernambuco,Universidade de Pernambuco,https://www.linkedin.com/school/universidade-de-pernambuco/,linkedin.com/school/universidade-de-pernambuco,,,,Brazil,,,-6282.0,universidade de pernambuco,-6282.0,universidade de pernambuco,-0.730128,
1,-7470654652929667901,639496727,False,False,False,linkedin.com/in/kathyhtang,Quantic School of Business and Technology,,,MBA,5,Business,3,Master of Business Administration - MBA,,quantic school of business and technology,,,,quantic school of business and technology,https://www.linkedin.com/school/quanticschool/,linkedin.com/school/quanticschool,,,United States,,,,-190577.0,quantic school of business and technology,-190577.0,,-0.106764,
2,-6023659840125719594,353980958,False,False,False,linkedin.com/in/jeffreyhe,,,,empty,0,empty,2,,,,,,,,,,,,,,,,,,,,,
3,3291604214566751059,184390191,False,False,False,linkedin.com/in/ascese-conseil-1b78b1bb,Université Paris Dauphine,2007-01-01,2010-01-31,Bachelor,3,empty,2,Bachelor's degree in Journalism and Mass Communication,Journalism and Mass Communication,université paris dauphine,,,Université Paris Dauphine,Université Paris Dauphine,,,,,,,,,-1252836.0,université paris dauphine psl,-1252836.0,université paris dauphine,-0.396728,
4,-6622526196294144812,650999261,False,False,False,linkedin.com/in/zhiyiting,Zhejiang University,2009-01-01,2013-01-31,empty,0,empty,1,,,zhejiang university,,Zhejiang University,Zhejiang University,Zhejiang University,,,China,"杭州Hangzhou, 浙江Zhejiang",China,China,95.0,,-345779.0,zhejiang university,-345779.0,zhejiang university,0.982128,
5,8147256662114609354,493560633,False,False,False,linkedin.com/in/n-milena-pistilli,EnAIP Forlu00ec-Cesena,2013-01-01,2015-01-01,empty,0,empty,3,Professional Diploma (NFQ 4) - Intermediate,Apparel and Industrial Textile Manufacture,enaip forlu00ec cesena,,,,enaip forlu00ec cesena,,,,,,,,,,,,,,
6,2893748086558952456,99432188,False,False,False,linkedin.com/in/toavina-raza,ISCOM Lille,2010-01-01,2012-01-01,empty,0,empty,1,Communication Globale des Entreprises,,iscom lille,,,,iscom lille,,,,,France,,,,-824679.0,iscom,-824679.0,,-0.698606,
7,7638471706011718451,242556949,False,False,False,linkedin.com/in/lilygoldman,New York University,,,Bachelor,3,empty,3,Bachelor's Degree,,new york university,New York University,New York University,New York University,New York University,https://www.linkedin.com/school/new-york-university/,linkedin.com/school/new-york-university,United States,"New York, NY",United States,United States,26.0,27.0,-1165410.0,new york university,-1165410.0,new york university,0.966242,
8,7604824146981929599,2006423776,False,False,False,linkedin.com/in/rashaharvey,Yale School of Management,,,MBA,5,Business,4,Master of Business Administration - MBA,,yale school of management,,,,yale school of management,https://www.linkedin.com/school/yale-school-of-management/,linkedin.com/school/yale-school-of-management,,,United States,,,,-281677.0,yale school of management,-822141.0,yale university,,
9,-2176988562517867807,246709477,False,False,False,linkedin.com/in/manasi-goel,Purdue University,,,Bachelor,3,Engineering,3,Bachelor of Science (B.S.),Dual Degree: Computer Science; Mathematics,purdue university,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University,Purdue University,https://www.linkedin.com/school/purdue-university/,linkedin.com/school/purdue-university,United States,"West Lafayette, in",United States,United States,94.0,47.0,-187822.0,purdue university,-187822.0,purdue university,0.961046,
10,-403742663587071520,191520097,False,False,False,linkedin.com/in/ivyzhong,,,,empty,0,empty,1,,,,,,,,,,,,,,,,,,,,,Dual degree in Mathematics and Honours Business Administration (HBA).
11,-6328865957331829801,453849966,False,False,False,linkedin.com/in/renato-hodzic-96bb3646,hillsdale high school,2001-01-01,2005-01-31,empty,0,empty,2,,,hillsdale high school,,,University of the Pacific,University of the Pacific,https://www.linkedin.com/school/university-of-the-pacific/,linkedin.com/school/university-of-the-pacific,,,United States,United States,,,-13292849.0,hillsdale high school,-13292849.0,,-0.525408,
12,-3131171542625710776,648570989,False,False,False,linkedin.com/in/savannahwhitney,"University of California, Berkeley",2005-01-01,2009-01-01,Bachelor,3,Economics,1,BA,Economics,university of california berkeley,"University of California, Berkeley","University of California, Berkeley",University of California Berkeley,University of California Berkeley,https://www.linkedin.com/school/uc-berkeley/,linkedin.com/school/uc-berkeley,United States,"Berkeley, CA",United States,,7.0,34.0,-922326.0,university of california berkeley,-922326.0,university of california berkeley,0.969104,
13,-537087989091591594,2026793794,False,False,False,linkedin.com/in/maryrebultan,"International Academy of Film and Television, Cebu",2018-01-01,,empty,0,empty,1,Certificate,Cinematography and Film/Video Production,international academy of film and television cebu,,,,international academy of film and television cebu,,,,,Philippines,,,,-4276371.0,international academy of film and television cebu,-4276371.0,,-0.736574,
14,-4624070915211391151,611599243,False,False,False,linkedin.com/in/hoaithidang,University of California San Diego,2018-01-01,,empty,0,empty,1,,"BS, Math-Computer Science; minor in Design, 3.7",university of california san diego,"University of California, San Diego","University of California, San Diego",UC San Diego Extension,UC San Diego Extension,,,,,,,33.0,39.0,-160091.0,uc san diego,-160091.0,university of california san diego,0.964848,
15,7995895848954785941,334809195,False,False,False,linkedin.com/in/shailyn-marie-magcaiyo,"San Pedro College of Business Administration - San Pedro, Laguna",2011-01-01,2015-01-01,Bachelor,3,Accounting,1,Bachelor's degree,Accounting and Business/Management,san pedro college of business administration san pedro laguna,,,,san pedro college of business administration san pedro laguna,https://www.linkedin.com/school/san-pedro-college-of-business-administration---san/,linkedin.com/school/san-pedro-college-of-business-administration---san,,,,,,,-6027109.0,san pedro college of business administration san pedro laguna,-6027109.0,,-0.933876,
