COMPANY,CATEGORY,SOURCE_COMPANY,N
"Asana, Inc.",Account Manager,Microsoft Corp.,9
"Asana, Inc.",Account Manager,"Salesforce, Inc.",7
"Asana, Inc.",Account Manager,"Zendesk, Inc.",4
"Asana, Inc.",Account Manager,"DocuSign, Inc.",4
"Asana, Inc.",Account Manager,"Dropbox, Inc.",4
"Asana, Inc.",Account Manager,"Recruit Holdings Co., Ltd.",2
"Asana, Inc.",Account Manager,"Qualtrics International, Inc.",2
"Asana, Inc.",Account Manager,"Alphabet, Inc.",1
"Asana, Inc.",Account Manager,Seer Interactive LLC,1
"Asana, Inc.",Account Manager,Gresham House Plc,1
"Asana, Inc.",Account Manager,"ON24, Inc.",1
"Asana, Inc.",Account Manager,"Roper Technologies, Inc.",1
"Asana, Inc.",Account Manager,"Fastly, Inc.",1
"Asana, Inc.",Account Manager,"Upwork, Inc.",1
"Asana, Inc.",Account Manager,"Advance Publications, Inc.",1
"Asana, Inc.",Account Manager,Oracle Corp.,1
"Asana, Inc.",Account Manager,"Adobe, Inc.",1
"Asana, Inc.",Account Manager,"Wrike, Inc.",1
"Asana, Inc.",Account Manager,"Sender, Inc.",1
"Asana, Inc.",Account Manager,"Sprout Social, Inc.",1
"Asana, Inc.",Account Manager,WPP Plc,1
"Asana, Inc.",Account Manager,Schneider Electric SE,1
"Asana, Inc.",Account Manager,"People Center, Inc.",1
"Asana, Inc.",Account Manager,Merck KGaA,1
"Asana, Inc.",Account Manager,"Udemy, Inc.",1
"Asana, Inc.",Account Manager,"Fuji Soft, Inc.",1
"Asana, Inc.",Account Manager,"ServiceNow, Inc.",1
"Asana, Inc.",Account Manager,"Intercom, Inc. (California)",1
"Asana, Inc.",Account Manager,Sinch AB,1
"Asana, Inc.",Account Manager,"Appier Group, Inc.",1
"Asana, Inc.",Account Manager,"Zuora, Inc.",1
"Asana, Inc.",Account Manager,Accenture Plc,1
"Asana, Inc.",Account Manager,"Omni Projects, Inc.",1
"Asana, Inc.",Account Manager,Learning Technologies Group Plc,1
"Asana, Inc.",Account Manager,"Seismic Software, Inc.",1
"Asana, Inc.",Account Manager,"Gartner, Inc.",1
"Asana, Inc.",Accountant,"Stripe, Inc.",2
"Asana, Inc.",Accountant,"Dropbox, Inc.",2
"Asana, Inc.",Accountant,Nektar Therapeutics,2
"Asana, Inc.",Accountant,"Global Medical REIT, Inc.",1
"Asana, Inc.",Accountant,"Corteva, Inc.",1
"Asana, Inc.",Accountant,Curriculum Associates LLC,1
"Asana, Inc.",Accountant,"NerdWallet, Inc.",1
"Asana, Inc.",Accountant,"Pluralsight, Inc.",1
"Asana, Inc.",Accountant,"Meta Platforms, Inc.",1
"Asana, Inc.",Accountant,"Zendesk, Inc.",1
"Asana, Inc.",Accountant,Ernst & Young Global Ltd.,1
"Asana, Inc.",Accountant,"Uber Technologies, Inc.",1
"Asana, Inc.",Accountant,"Yahoo, Inc.",1
"Asana, Inc.",Accountant,Wix.com Ltd.,1
"Asana, Inc.",Accountant,"Airbnb, Inc.",1
"Asana, Inc.",Agent,"HubSpot, Inc.",1
"Asana, Inc.",Application Engineer,"Intuit, Inc.",2
"Asana, Inc.",Application Engineer,The Michael R. Bloomberg BI Revocable Trust,2
